1485,Uddevalla kommun
1491,Ulricehamns kommun
2480,Umeå kommun
114,Upplands Väsby kommun
139,Upplands-Bro kommun
380,Uppsala kommun
760,Uppvidinge kommun
584,Vadstena kommun
665,Vaggeryds kommun
563,Valdemarsviks kommun
115,Vallentuna kommun
2021,Vansbro kommun
1470,Vara kommun
1383,Varbergs kommun
187,Vaxholms kommun
1233,Vellinge kommun
685,Vetlanda kommun
2462,Vilhelmina kommun
884,Vimmerby kommun
2404,Vindelns kommun
428,Vingåkers kommun
1442,Vårgårda kommun
1487,Vänersborgs kommun
2460,Vännäs kommun
120,Värmdö kommun
683,Värnamo kommun
883,Västerviks kommun
1980,Västerås kommun
780,Växjö kommun
512,Ydre kommun
1286,Ystads kommun
1492,Åmåls kommun
2260,Ånge kommun
2321,Åre kommun
1765,Årjängs kommun
2463,Åsele kommun
1277,Åstorps kommun
561,Åtvidabergs kommun
765,Älmhults kommun
2039,Älvdalens kommun
319,Älvkarleby kommun
2560,Älvsbyns kommun
1292,Ängelholms kommun
1407,Öckerö kommun
509,Ödeshögs kommun
1880,Örebro kommun
1257,Örkelljunga kommun
2284,Örnsköldsviks kommun
2380,Östersunds kommun
117,Österåkers kommun
382,Östhammars kommun
1256,Östra Göinge kommun
2513,Överkalix kommun
2518,Övertorneå kommun
